iter	RMSE
0	1.08327356
1	1.018199409
2	0.9649494463
3	0.9149742626
4	0.8689919762
5	0.8277299966
6	0.7961280348
7	0.7652941003
8	0.7419121931
9	0.7193214357
10	0.69737236
11	0.6785002779
12	0.6626646724
13	0.6501811041
14	0.6378603779
15	0.6241424923
16	0.6144143716
17	0.6058676873
18	0.5964955177
19	0.5851573508
20	0.5763047439
21	0.5695101162
22	0.5625140479
23	0.5578159158
24	0.553486935
25	0.5490953413
26	0.5447814736
27	0.5399433121
28	0.5369466359
29	0.5343467288
30	0.5295977868
31	0.5263590939
32	0.5234442444
33	0.5211898354
34	0.5175950847
35	0.5145558412
36	0.5107989913
37	0.5077508769
38	0.5058193877
39	0.5043230223
40	0.5025081783
41	0.4999078613
42	0.4972839235
43	0.4957089046
44	0.4938860724
45	0.4920610647
46	0.4896437736
47	0.4876846323
48	0.4860911478
49	0.4845673967
50	0.4833884978
51	0.4810880395
52	0.4796124946
53	0.4781819365
54	0.4772441279
55	0.4758158174
56	0.4743494826
57	0.4726728476
58	0.4711562456
59	0.4703143828
60	0.468900402
61	0.4677471128
62	0.4665226898
63	0.4656146081
64	0.4642017988
65	0.4632553295
66	0.4623855938
67	0.4613033902
68	0.460016187
69	0.4587959661
70	0.4575477199
71	0.4569021042
72	0.4553341822
73	0.4544096758
74	0.4535035911
75	0.4516648266
76	0.4504651339
77	0.4490802709
78	0.4481620227
79	0.4465795137
80	0.4452780519
81	0.4441725923
82	0.4427497864
83	0.4413170724
84	0.4404686928
85	0.4389603391
86	0.437214629
87	0.4356506473
88	0.4343629773
89	0.4333246427
90	0.4321005926
91	0.4310000087
92	0.4304275361
93	0.4294685484
94	0.4286402952
95	0.4279094155
96	0.4268654679
97	0.4259500069
98	0.4247529687
99	0.4236781031
