iter	Passed	Remaining
0	65	6448
1	87	4284
2	99	3201
3	107	2568
4	115	2190
5	123	1929
6	133	1772
7	141	1625
8	150	1520
9	160	1440
10	167	1355
11	175	1288
12	183	1228
13	192	1183
14	201	1139
15	209	1100
16	217	1061
17	225	1029
18	233	996
19	241	966
20	249	940
21	258	916
22	266	892
23	274	870
24	282	847
25	290	826
26	299	808
27	307	789
28	315	773
29	323	755
30	332	739
31	340	723
32	349	709
33	356	692
34	366	681
35	393	699
36	409	696
37	417	681
38	427	668
39	435	653
40	445	641
41	453	626
42	462	612
43	470	598
44	482	589
45	492	578
46	500	564
47	510	552
48	517	538
49	526	526
50	534	513
51	543	501
52	550	488
53	559	476
54	567	464
55	577	454
56	585	441
57	594	430
58	602	418
59	611	407
60	619	396
61	629	385
62	636	373
63	645	363
64	653	351
65	662	341
66	669	329
67	679	319
68	687	308
69	695	298
70	703	287
71	712	277
72	721	266
73	729	256
74	737	245
75	746	235
76	754	225
77	761	214
78	769	204
79	776	194
80	784	184
81	792	173
82	800	163
83	807	153
84	815	143
85	823	134
86	830	124
87	838	114
88	846	104
89	854	94
90	861	85
91	868	75
92	876	65
93	884	56
94	892	46
95	899	37
96	907	28
97	916	18
98	924	9
99	934	0
