iter	Passed	Remaining
0	74	7365
1	90	4441
2	100	3264
3	108	2612
4	126	2409
5	138	2174
6	146	1948
7	160	1847
8	180	1828
9	195	1759
10	204	1657
11	217	1593
12	229	1538
13	238	1464
14	249	1413
15	264	1387
16	276	1350
17	292	1330
18	301	1287
19	310	1240
20	323	1215
21	331	1176
22	342	1145
23	359	1138
24	368	1106
25	378	1077
26	396	1072
27	409	1051
28	426	1044
29	440	1027
30	456	1015
31	466	991
32	481	978
33	492	956
34	500	930
35	508	903
36	519	885
37	530	865
38	538	842
39	550	825
40	559	804
41	571	789
42	584	774
43	597	760
44	606	741
45	623	732
46	637	718
47	650	705
48	669	696
49	769	769
50	784	753
51	794	733
52	805	714
53	821	699
54	831	680
55	845	664
56	859	648
57	873	632
58	901	626
59	930	620
60	949	607
61	970	595
62	991	582
63	1014	570
64	1029	554
65	1042	537
66	1060	522
67	1088	512
68	1105	496
69	1153	494
70	1178	481
71	1218	473
72	1227	453
73	1237	434
74	1247	415
75	1256	396
76	1266	378
77	1276	360
78	1287	342
79	1296	324
80	1310	307
81	1319	289
82	1327	271
83	1341	255
84	1350	238
85	1358	221
86	1370	204
87	1380	188
88	1388	171
89	1398	155
90	1415	139
91	1423	123
92	1440	108
93	1456	92
94	1484	78
95	1496	62
96	1510	46
97	1521	31
98	1535	15
99	1547	0
